别名	八爪金龙
别名	开喉箭
别名	野猴枣
别名	八爪龙
别名	状元红
功能	祛痰利湿
功能	清热利咽
主治	睾丸肿痛
主治	无名肿毒
主治	风湿骨痛
主治	肺病咳嗽
主治	蛇咬伤
主治	小便淋痛
主治	咯痰不畅
主治	咳嗽咯痰不畅
中药名	白龙穿彩
别名	白龙苍
别名	脓疮草
别名	白龙昌菜
别名	白龙串彩
别名	白花益母草
功能	清热利水
功能	调经活血
主治	产后腹痛
主治	脓疮
主治	疖肿
主治	子宫出血
主治	急性肾炎
中药名	白鹤灵芝
别名	癣草
功能	润肺降火
主治	劳嗽
主治	肺结核早期
主治	外用治体癣
中药名	白鸭肉
别名	骛肉
别名	鹜肉
功能	补益气阴
功能	滋阴养胃
主治	痨热骨蒸
主治	虚劳骨蒸
中药名	白鸡肫
主治	血热鼻衄
中药名	白鲜皮
别名	羊鲜草
别名	山牡丹
别名	白藓皮
别名	野花椒根皮
别名	臭根皮
别名	八股牛
别名	北鲜皮
别名	藓皮
功能	祛风止痒
功能	清热燥湿
功能	燥湿
主治	皮肤痒疹
主治	风热湿毒所致的风疹
主治	湿热
主治	痹
主治	风湿热痹
主治	黄疸尿赤
主治	风热疮毒
主治	疥癣疮癞
主治	黄水淋漓
中药名	白鱼尾果
功能	驱虫消肿
主治	小儿蛔虫病
主治	小儿蛔疳
中药名	白马骨根
主治	喉痛
主治	白蚀
主治	偏正头痛
中药名	白饭树叶
主治	头疮
主治	脓疱疮
中药名	白颖苔草
功能	清热利尿通淋
中药名	白降丹
别名	水火丹
别名	降丹
别名	降药
四气	热
功能	消痈
功能	蚀腐
功能	外
功能	溃脓
主治	消肿
主治	腐肉难消
主治	腐者即脱
主治	脓成不溃
主治	风癣疥癞
主治	痈疽发背
主治	水调敷疮头上
主治	一切疔毒
主治	初起者立刻起疱消散
主治	成脓者即溃
主治	痈疽发背一切疔毒
中药名	白铃子
别名	小一面锣
别名	一面锣
分布	西藏
主治	治红崩
中药名	白钩藤
别名	双钩
别名	双钩藤
别名	耿马钩藤
别名	无柄果钩藤
主治	高血压
主治	惊痫抽搐
主治	妊娠子痫
主治	感冒夹惊
中药名	白金果榄
别名	银袋
别名	苦凉藤
主治	肠炎腹泻
主治	菌痢
中药名	白车轴草
别名	金花草
别名	白花苜蓿
别名	螃蟹花
别名	菽草翘摇
别名	三消草
功能	宁心
中药名	白豆蔻壳
别名	白蔻衣
别名	豆蔻壳
中药名	白豆蔻
别名	豆蔻
别名	白蔻
别名	扣米
别名	壳蔻
别名	圆豆蔻
别名	多骨
功能	温中止呕
功能	化湿行气
功能	宽中
功能	暖胃
主治	反胃
主治	胸闷不饥
主治	脾胃不和
主治	气滞
主治	食滞
主治	胃寒呕吐
主治	吐逆
主治	腹胀
主治	食积不消
主治	胸闷
主治	噫气
主治	湿阻气滞
主治	噎膈
主治	不思饮食
主治	湿温初起
中药名	白螺蛳壳
别名	白螺壳
别名	鬼眼睛
功能	散结
功能	敛疮
功能	和胃
主治	疳疮
主治	热痰咳嗽
主治	溃疡
主治	汤火伤
主治	吐酸
中药名	白蝶花
别名	鸡卵参
别名	土玉竹
别名	兔耳草
别名	白花参
别名	龙头兰
别名	公鸡花
别名	双合伞
别名	双肾草
别名	对对参
别名	和气草
功能	疏肝散寒
功能	补肾壮阳
功能	健脾
主治	肾虚腰痛
主治	脾胃虚弱
主治	寒疝
中药名	白蔻
功能	行气开胃
主治	胃脘疼痛
中药名	白蔹
别名	狗天天
别名	五爪藤
别名	猫儿卵
别名	昆仑
别名	鹅抱蛋
别名	铁老鼠
别名	八卦牛
别名	人卦牛
别名	母鸡抱蛋
别名	老鼠瓜薯
别名	白水罐
别名	山地瓜
别名	兔核
别名	山栗子
别名	穿山老鼠
别名	野着薯
别名	山葡萄秧
别名	野红薯
别名	癞痢茶
别名	白根
别名	母鸡带仔
别名	地老鼠
别名	白浆罐
功能	生肌敛疮
功能	散结止痛
功能	生肌
主治	温疟
主治	肠风
主治	惊痫
主治	痔漏
主治	瘰疠
中药名	白蓝翠雀花
中药名	白蒿
别名	旁勃
别名	白艾蒿
别名	大头蒿
别名	蘩母
别名	蘩
别名	由胡
别名	臭蒿子
别名	大子蒿
别名	山艾
别名	皤蒿
别名	莓母
别名	大白蒿
别名	苦蒿
别名	蓬蒿
分布	华北
主治	风寒湿痹
主治	肿热咳嗽
主治	疥癞恶疮
主治	热痢
主治	疥瘌恶疮
中药名	白萆薢
别名	萆薢
别名	花萆薢
别名	滑杆白萆薢
别名	刺萆薢
主治	膀胱炎
主治	麻木
主治	风湿筋骨疼痛
主治	小便短少
主治	湿热带下
主治	风湿痹前
主治	风湿性筋骨疼痛
中药名	白菖
别名	泥菖蒲
别名	水宿
别名	土蒿蒲
别名	泥昌
别名	水八角草
别名	水菖蒲
别名	臭蒲
别名	水昌
别名	溪荪
别名	蒲剑
别名	茎蒲
别名	家昌蒲
别名	兰荪
别名	大叶菖蒲
别名	地心
功能	开窍
主治	泄泻痢疾
主治	痈肿疥疮
主治	神志不请
主治	惊悸健忘
主治	湿滞痞胀
中药名	白菊花根
别名	长生
功能	捣汁和酒服之
功能	大
中药名	白药子
别名	白药根
别名	山乌龟
别名	白药脂
别名	金丝吊鳖
别名	金线吊葫芦
别名	白药
别名	金线吊乌龟
别名	盘花地不容
功能	清热消痰
功能	凉血解毒
主治	急性阑尾炎
主治	痈疽肿毒
主治	咽痛喉痹
主治	神经性皮炎
主治	内出血
主治	热毒痈肿
主治	淋巴结炎
主治	金创出血
主治	急性肝炎
主治	外用治流行性腮腺炎
主治	细菌性痢疾
中药名	白草莓
别名	只大萨曾
别名	草莓
别名	白藨
别名	白地莓
别名	白蒲草
别名	三匹风
别名	野杨莓
别名	白泡儿
功能	清肺止咳
主治	口舌生疮
主治	烫火伤
中药名	白茅针
别名	茅揠
别名	茅蜜
别名	茅锥
别名	茅荑
别名	茅芽
别名	茅笋
别名	茅苗
别名	茅针
主治	大便下血
主治	疮痈肿毒
中药名	白茅花
别名	菅花
别名	茅针花
别名	营花
别名	茅盔花
别名	茅花
功能	定痛
主治	刀伤
中药名	白茅根
别名	地菅
别名	丝毛草根
别名	白花茅根
别名	丝茅草
别名	兼杜
别名	丝茅
别名	地节根
别名	白茅菅
别名	茅草根
别名	地筋
别名	坚草根
别名	甜草根
别名	茅草
别名	万根草
别名	寒草根
别名	茅根
别名	白茅草
别名	茹根
别名	兰根
主治	血热出血
主治	肺热喘咳
主治	血热吐血
主治	热淋涩痛
主治	胃热呕逆
主治	急性肾炎水肿
主治	胃热哕逆
主治	小便淋沥涩痛
主治	肺热喘急
中药名	白苏
别名	玉苏子
别名	野苏麻
别名	白苏子
别名	苏梗
主治	胸腹胀满
中药名	白芷
别名	香白芷
别名	苻蓠
别名	晼
别名	白茞
别名	泽芬
别名	白茝
别名	虈
别名	芳香
别名	芷
功能	消肿排脓
功能	通窃止痛
主治	眉棱骨痛
主治	鼻塞
主治	肠风痔漏
主治	疮疡肿痛
主治	鼻渊
主治	赤白带下
主治	湿胜久泻
主治	妇女白带
主治	痈疽疮疡
主治	感冒头痛
主治	皮肤燥痒
主治	寒湿腹痛
中药名	白花蛇
功能	定惊搐
功能	透筋骨
主治	麻风
主治	麻木拘挛
主治	瘰疬恶疮
主治	风湿瘫痪
主治	小儿惊风搐搦
主治	中风口歪
主治	骨节疼痛
主治	疥癞
主治	杨梅疮
主治	抽搐痉挛
主治	麻风疥癣
